20;Espacio b.a.;;Sarandí y Ventura Alegre;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.906504191485745;-54.95771039895021;Maldonado;Vestimenta y calzado
21;Espacio b.a.;4248 8086;Punta Shopping ( (Av. Roosevelt Esq. Los Alpes) Local 206;15%;7 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.93957041724333;-54.93419760947876;Punta del Este;Vestimenta y calzado
22;Legacy;4225 8598;Ituzaingó y Sarandí ;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.907366447614976; -54.957624568261735;Maldonado;Vestimenta y calzado
23;Levi's;4277 3251;Victor Haedo entre Ensueños y Duende Azul - Local 001;15%;3 cuotas sin interés con Visa. 6 cuotas sin interés con Master.;Todos los días;El beneficio aplica en todos los locales de Levi's en Uruguay, incluyendo los dos Outlet de la marca. Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.91455047126162;-54.862267921951286;Punta del Este;Vestimenta y calzado
24;Levi's;4249 2355;Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 301;;;;;-34.93957041724333;-54.93419760947876;Punta del Este;Vestimenta y calzado
25;Manos del Uruguay;4244 1953;Av. Gorlero entre 30 y 31;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.95890491753841;-54.9398703036743;Punta del Este;Vestimenta y calzado
26;MVD Leather;4248 1423;Punta Shopping (Av. Roosevelt Esq. Los Alpes) Nivel 3;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.93957041724333; -54.93419760947876;Punta del Este;Vestimenta y calzado
27;Sagali;4249 1958;Punta Shopping  Local 361;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.93957041724333; -54.93419760947876;Punta del Este;Vestimenta y calzado
28;Sara Pérez;;Av. Gorlero y 31;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.95850044040259; -54.939462607904034;Punta del Este;Vestimenta y calzado
29;Sisi;2902 48 79 (int.226);Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 208;15%;6 cuotas sin interés;Todos los días;Para hacer uso de las 6 cuotas sin recargo, la compra debe ser mayor a $ 1.200. Descuento no acumulable a otras promociones o liquidaciones.;-34.93957041724333; -54.93419760947876;Punta del Este;Vestimenta y calzado
30;Sisi;2902 48 79 (int.243);Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 217;;;;;-34.93957041724333;-54.93419760947876;Punta del Este;Vestimenta y calzado
31;;2 902 48 79 (int.217);Sarandí 922 entre Ituzaingó y Ventura Alegre;;;;;-34.906954012073605;-54.95761431163942;Maldonado;Vestimenta y calzado
32;Sport&Casual Company;4248 0378;Av. Roosevelt casi Av. Brasil;15%;6 cuotas sin interés;Todos los días;El descuento aplica a productos Reebok y a otras marcas solamente a colecciones anteriores.;-34.93432793885717;-54.939792480920346;Punta del Este;Vestimenta y calzado
33;Uniform;4247 7705;Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 370;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.93957041724333;-54.93419760947876 ;Punta del Este;Vestimenta y calzado
34;Victoria M. Ortiz;4244 6909;Calle 20 entre 27 y 28;15%;6 cuotas sin interés;Todos los días;Descuento no acumulable a otras promociones del comercio. El cliente podrá hacer uso de los planes de cuota de acuerdo al mínimo de compra establecido por cada sucursal.;-34.96047307625922;-54.94336518332818;Punta del Este;Vestimenta y calzado
35;;4249 2301;Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 359;;;;;-34.93957041724333;-54.93419760947876;Punta del Este;Vestimenta y calzado
36;Buquebus;;Terminal Punta del Este (Gorlero y 32) Local 09;10% en paquetes a Ar y Uy. 15% con tarjeta Santander Buquebús;12 cuotas sin interés;Todos los días;Descuento válido exclusivamente en paquetes turísticos que incluyan estadía de 2 noches de hotel como mínimo, pasaje y los traslados del puerto al hotel y del hotel al puerto. El descuento no aplica para tramos aéreos y no es acumulable a otras promociones y se realizará únicamente en los locales Buquebus de Uruguay. No válido para compras realizadas telefónicamente o en Agencias de Viaje. Descuento válido únicamente para el titular de la tarjeta y/o familiares directos (padres, hijos, esposo/a). El descuento aplica para compras de hasta 4 paquetes por transacción.;-34.957782437964504;-54.938794699166806;Punta del Este;Turismo
37;Buquebus;;Punta Shopping (Av. Roosevelt Esq. Los Alpes) Local 104;10% en paquetes a Ar y Uy. 15% con tarjeta Santander Buquebús;13 cuotas sin interés;Todos los días;Descuento válido exclusivamente en paquetes turísticos que incluyan estadía de 2 noches de hotel como mínimo, pasaje y los traslados del puerto al hotel y del hotel al puerto. El descuento no aplica para tramos aéreos y no es acumulable a otras promociones y se realizará únicamente en los locales Buquebus de Uruguay. No válido para compras realizadas telefónicamente o en Agencias de Viaje. Descuento válido únicamente para el titular de la tarjeta y/o familiares directos (padres, hijos, esposo/a). El descuento aplica para compras de hasta 4 paquetes por transacción.;-34.93957041724333;-54.93419760947876;Punta del Este;Turismo
